date,1957,1958,1959,1960
6/1,153,150,203,210
6/2,180,163,206,206
6/3,213,176,210,193
6/4,247,183,206,190
6/5,280,202,203,200
6/6,300,230,210,203
6/7,320,275,206,190
6/8,337,280,203,187
6/9,315,275,213,190
6/10,280,256,213,193
6/11,256,243,230,193
6/12,243,230,230,190
6/13,217,206,230,181
6/14,210,194,230,172
6/15,194,180,230,166
6/16,180,184,230,169
6/17,170,175,230,172
6/18,163,172,230,178
6/19,153,187,230,178
6/20,144,203,230,178
6/21,142,238,230,175
6/22,136,242,230,184
6/23,130,223,230,190
6/24,128,200,230,190
6/25,120,193,230,193
6/26,117,187,230,193
6/27,117,184,230,193
6/28,117,181,230,193
6/29,117,178,230,193
6/30,120,169,230,187
7/1,120,166,160,184
7/2,115,163,160,175
7/3,108,160,160,166
7/4,101,160,160,160
7/5,101,169,160,154
7/6,99,166,160,154
7/7,97,160,160,149
7/8,95,149,160,143
7/9,97,140,160,138
7/10,97,140,160,135
7/11,93,130,160,138
7/12,91,124,160,140
7/13,90,124,160,143
7/14,93,122,160,149
7/15,95,117,160,149
7/16,91,132,140,146
7/17,91,138,140,146
7/18,90,138,140,146
7/19,88,135,140,140
7/20,80,130,140,135
7/21,77,122,140,140
7/22,76,122,140,146
7/23,72,120,140,149
7/24,69,114,140,166
7/25,67,112,140,178
7/26,73,107,140,178
7/27,69,117,140,172
7/28,66,117,120,169
7/29,66,110,120,178
7/30,66,105,120,169
7/31,67,100,120,169
8/1,67,103,100,190
8/2,64,105,100,175
8/3,59,105,100,169
8/4,58,103,100,169
8/5,55,100,100,172
8/6,53,98,100,178
8/7,52,100,100,172
8/8,55,100,100,163
8/9,57,105,100,160
8/10,55,100,100,157
8/11,55,103,100,157
8/12,55,120,100,154
8/13,54,124,100,149
8/14,54,127,100,143
8/15,56,124,76,135
8/16,57,117,80,135
8/17,56,114,80,132
8/18,53,112,80,130
8/19,51,110,80,127
8/20,52,107,80,122
8/21,68,112,80,117
8/22,64,114,80,112
8/23,65,114,80,110
8/24,64,127,80,107
8/25,64,130,80,107
8/26,65,127,80,110
8/27,93,127,80,117
8/28,86,124,80,124
8/29,84,122,80,122
8/30,84,120,80,114
8/31,82,114,80,114
9/1,80,110,74,130
9/2,97,107,74,166
9/3,191,105,74,154
9/4,142,105,74,149
9/5,125,103,74,140
9/6,117,100,74,138
9/7,110,100,74,138
9/8,108,98,74,132
9/9,106,96,74,127
9/10,99,94,74,124
9/11,106,92,74,124
9/12,194,105,74,132
9/13,194,100,74,124
9/14,176,98,74,120
9/15,163,92,74,114
9/16,153,85,61,117
9/17,147,81,61,110
9/18,144,83,60,107
9/19,144,87,60,105
9/20,136,85,60,100
9/21,136,81,58,107
9/22,133,85,60,103
9/23,130,100,56,98
9/24,147,98,55,94
9/25,147,96,54,96
9/26,142,94,52,92
9/27,133,92,54,98
9/28,130,87,54,110
9/29,120,87,67,107
9/30,106,87,69,107
