date,1957,1958,1959,1960
6/1,104,112,142,163
6/2,114,123,144,155
6/3,130,130,146,149
6/4,150,137,146,144
6/5,167,145,146,146
6/6,179,153,149,149
6/7,188,179,149,149
6/8,203,206,153,146
6/9,210,206,155,146
6/10,197,194,158,144
6/11,179,179,160,144
6/12,170,170,165,140
6/13,156,159,170,129
6/14,150,148,170,123
6/15,145,135,170,117
6/16,130,135,167,115
6/17,126,128,170,115
6/18,108,123,175,121
6/19,104,126,180,131
6/20,106,137,182,131
6/21,104,161,185,129
6/22,96,164,182,131
6/23,94,156,180,138
6/24,91,145,172,142
6/25,87,142,165,142
6/26,84,135,160,140
6/27,82,130,149,140
6/28,82,126,142,138
6/29,82,121,138,138
6/30,82,116,131,133
7/1,84,112,123,127
7/2,80,108,119,119
7/3,80,108,109,117
7/4,79,106,104,113
7/5,77,108,98,111
7/6,74,108,98,107
7/7,71,108,98,104
7/8,68,100,95,104
7/9,65,96,91,100
7/10,66,94,88,100
7/11,64,92,88,102
7/12,64,89,93,102
7/13,62,86,95,106
7/14,62,80,98,111
7/15,61,76,95,111
7/16,61,87,102,106
7/17,58,89,106,106
7/18,58,92,102,106
7/19,57,91,98,104
7/20,54,89,95,100
7/21,52,87,92,100
7/22,50,86,93,106
7/23,48,84,86,106
7/24,45,82,85,113
7/25,44,77,82,117
7/26,44,74,77,121
7/27,44,77,74,123
7/28,42,79,77,121
7/29,41,76,77,121
7/30,41,72,80,119
7/31,40,71,82,119
8/1,40,70,80,131
8/2,38,70,76,125
8/3,38,71,74,123
8/4,38,70,79,125
8/5,37,66,79,123
8/6,36,65,74,125
8/7,36,65,73,119
8/8,35,66,71,117
8/9,35,70,70,113
8/10,35,70,69,111
8/11,35,70,69,107
8/12,35,74,67,106
8/13,34,79,64,100
8/14,34,80,60,95
8/15,33,82,56,91
8/16,33,80,56,90
8/17,33,79,58,88
8/18,32,76,58,87
8/19,32,72,56,83
8/20,32,72,54,79
8/21,38,74,54,77
8/22,38,74,55,74
8/23,38,76,58,71
8/24,38,84,59,70
8/25,38,87,62,70
8/26,37,89,63,71
8/27,48,87,63,74
8/28,59,86,60,79
8/29,61,82,58,79
8/30,59,80,58,74
8/31,58,77,59,74
9/1,59,76,63,77
9/2,65,74,62,88
9/3,119,74,60,88
9/4,100,71,59,91
9/5,86,68,58,93
9/6,80,66,55,90
9/7,76,65,54,90
9/8,74,62,53,90
9/9,72,62,50,90
9/10,66,61,49,87
9/11,74,61,47,82
9/12,128,65,46,83
9/13,128,65,46,83
9/14,123,64,44,83
9/15,114,62,43,80
9/16,104,62,44,79
9/17,96,62,43,73
9/18,98,61,42,71
9/19,98,62,41,70
9/20,89,61,41,64
9/21,91,59,41,64
9/22,92,62,39,63
9/23,91,70,38,63
9/24,108,70,38,62
9/25,110,70,37,62
9/26,104,70,37,60
9/27,96,66,37,62
9/28,92,65,35,62
9/29,86,62,41,60
9/30,76,64,42,
