"","Date","Time","Depth","points"
"1","2/23/2024",15:00:00,"33",3.168
"2","2/23/2024",15:00:00,"31",2.983
"3","2/23/2024",15:00:00,"29",3.036
"4","2/23/2024",15:00:00,"27",3.063
"5","2/23/2024",15:00:00,"25",2.903
"6","2/23/2024",15:00:00,"23",3.009
"7","2/23/2024",15:00:00,"21",3.009
"8","2/23/2024",15:00:00,"19",2.903
"9","2/23/2024",15:00:00,"17",2.956
"10","2/23/2024",15:00:00,"13",2.903
"11","2/23/2024",15:00:00,"11",2.877
"12","2/23/2024",15:00:00,"9",2.85
"13","2/23/2024",15:00:00,"7",2.77
"14","2/23/2024",15:00:00,"5",2.584
"15","2/23/2024",15:00:00,"1",1.262
"16","2/23/2024",16:00:00,"33",3.142
"17","2/23/2024",16:00:00,"31",2.983
"18","2/23/2024",16:00:00,"29",3.036
"19","2/23/2024",16:00:00,"27",3.063
"20","2/23/2024",16:00:00,"25",2.903
"21","2/23/2024",16:00:00,"23",3.009
"22","2/23/2024",16:00:00,"21",3.009
"23","2/23/2024",16:00:00,"19",2.903
"24","2/23/2024",16:00:00,"17",2.956
"25","2/23/2024",16:00:00,"13",2.877
"26","2/23/2024",16:00:00,"11",2.877
"27","2/23/2024",16:00:00,"9",2.85
"28","2/23/2024",16:00:00,"7",2.77
"29","2/23/2024",16:00:00,"5",2.584
"30","2/23/2024",16:00:00,"1",1.262
"31","2/23/2024",17:00:00,"33",3.168
"32","2/23/2024",17:00:00,"31",2.983
"33","2/23/2024",17:00:00,"29",3.036
"34","2/23/2024",17:00:00,"27",3.063
"35","2/23/2024",17:00:00,"25",2.903
"36","2/23/2024",17:00:00,"23",3.009
"37","2/23/2024",17:00:00,"21",2.983
"38","2/23/2024",17:00:00,"19",2.903
"39","2/23/2024",17:00:00,"17",2.956
"40","2/23/2024",17:00:00,"13",2.877
"41","2/23/2024",17:00:00,"11",2.877
"42","2/23/2024",17:00:00,"9",2.877
"43","2/23/2024",17:00:00,"7",2.77
"44","2/23/2024",17:00:00,"5",2.584
"45","2/23/2024",17:00:00,"1",1.262
"46","2/23/2024",18:00:00,"33",3.142
"47","2/23/2024",18:00:00,"31",2.983
"48","2/23/2024",18:00:00,"29",3.036
"49","2/23/2024",18:00:00,"27",3.063
"50","2/23/2024",18:00:00,"25",2.903
"51","2/23/2024",18:00:00,"23",3.009
"52","2/23/2024",18:00:00,"21",2.983
"53","2/23/2024",18:00:00,"19",2.903
"54","2/23/2024",18:00:00,"17",2.956
"55","2/23/2024",18:00:00,"13",2.903
"56","2/23/2024",18:00:00,"11",2.877
"57","2/23/2024",18:00:00,"9",2.85
"58","2/23/2024",18:00:00,"7",2.77
"59","2/23/2024",18:00:00,"5",2.584
"60","2/23/2024",18:00:00,"1",1.262
"61","2/23/2024",19:00:00,"33",3.142
"62","2/23/2024",19:00:00,"31",2.983
"63","2/23/2024",19:00:00,"29",3.009
"64","2/23/2024",19:00:00,"27",3.063
"65","2/23/2024",19:00:00,"25",2.903
"66","2/23/2024",19:00:00,"23",3.036
"67","2/23/2024",19:00:00,"21",2.983
"68","2/23/2024",19:00:00,"19",2.903
"69","2/23/2024",19:00:00,"17",2.956
"70","2/23/2024",19:00:00,"13",2.903
"71","2/23/2024",19:00:00,"11",2.877
"72","2/23/2024",19:00:00,"9",2.877
"73","2/23/2024",19:00:00,"7",2.77
"74","2/23/2024",19:00:00,"5",2.584
"75","2/23/2024",19:00:00,"1",1.262
"76","2/23/2024",20:00:00,"33",3.168
"77","2/23/2024",20:00:00,"31",2.983
"78","2/23/2024",20:00:00,"29",3.009
"79","2/23/2024",20:00:00,"27",3.063
"80","2/23/2024",20:00:00,"25",2.903
"81","2/23/2024",20:00:00,"23",3.009
"82","2/23/2024",20:00:00,"21",2.983
"83","2/23/2024",20:00:00,"19",2.903
"84","2/23/2024",20:00:00,"17",2.956
"85","2/23/2024",20:00:00,"13",2.903
"86","2/23/2024",20:00:00,"11",2.903
"87","2/23/2024",20:00:00,"9",2.85
"88","2/23/2024",20:00:00,"7",2.77
"89","2/23/2024",20:00:00,"5",2.584
"90","2/23/2024",20:00:00,"1",1.262
"91","2/23/2024",21:00:00,"33",3.142
"92","2/23/2024",21:00:00,"31",2.983
"93","2/23/2024",21:00:00,"29",3.009
"94","2/23/2024",21:00:00,"27",3.063
"95","2/23/2024",21:00:00,"25",2.903
"96","2/23/2024",21:00:00,"23",3.009
"97","2/23/2024",21:00:00,"21",2.983
"98","2/23/2024",21:00:00,"19",2.903
"99","2/23/2024",21:00:00,"17",2.956
"100","2/23/2024",21:00:00,"13",2.903
"101","2/23/2024",21:00:00,"11",2.903
"102","2/23/2024",21:00:00,"9",2.85
"103","2/23/2024",21:00:00,"7",2.77
